style name
Kellerbier (Cellar beer) or Zwickelbier - Ale
Belgian-Style Table Beer
Session India Pale Ale
American-Style Strong Pale Ale
Double Red Ale
Braggot
English-Style India Pale Ale
Belgian-style Fruit Beer
American-Style Black Ale
Pale Ale with Coffee
Anniversary Ale
American-Style Premium Lager
Belgian-Style Fruit Lambic
Golden Ale
Belgian Tripel
Tart Ale
American-Style Imperial Stout
Traditional German-Style Bock
American-Style Amber Lager
Chocolate Stout
German-Style Doppelbock
Gose
American-Style Brown Ale
Berliner-Style Weisse (Wheat)
Holiday Spiced Belgian Strong Dark Ale
Extra Special Bitter
Belgian-Style Dubbel
Pilsner - Czech
German-Style Leichtes Weizen / Weissbier
Amber Ale
American-Style Dark Lager
Belgian-Style Flanders Oud Bruin or Oud Red Ales
American Wheat
Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles)
German-Style Pilsener
Cyser (Apple Melomel)
Classic English-Style Pale Ale
Brown Ale
American Porter
Bohemian-Style Pilsener
Dark American-Belgo-Style Ale
Lite Dry Stout
South German-Style Bernsteinfarbenes Weizen / Weissbier
Oatmeal Stout
Barleywine
German-Style Schwarzbier
Lite Dry Hopped - Dry Terped Lager
American-Style Märzen / Oktoberfest
Imperial Red Ale
American-Style Ice Lager
Historical Beer
Dubbel
International-Style Pale Ale
Vienna-Style Lager
Helles Munich Lager
Gluten-Free Beer
Pale American-Belgo-Style Ale
Pyment (Grape Melomel)
Bamberg-Style Helles Rauchbier
Aged Beer (Ale or Lager)
American-Style Stout
Other Specialty Cider or Perry
Blonde Ale
IPA with Coffee
Amarillo Dry-Hopped Belgian Pale Ale
Milk Stout
Apple Wine
American Pale Ale
French-Style Bière de Garde
Belgian Pale Ale
Classic Irish-Style Dry Stout
American-Style Malt Liquor
Belgian-Style Lambic
Flavored Malt Beverage
British-Style Barley Wine Ale
American-Style Lager
Stout
Dry Mead
California Common Beer
American-Style Pilsener
Belgian Strong Dark Ale
Ginjo Beer or Sake-Yeast Beer
German-Style Leichtbier
Metheglin
Scottish-Style Heavy Ale
Belgian Wit with Raspberries
IPA
Special Bitter or Best Bitter
